# t p0=0.20 p0=0.45 p0=0.66 p0=0.75 p0=0.85
1.050000 0.077900 0.321399 0.665990 0.794750 0.901091
1.060000 0.077082 0.319964 0.666061 0.795222 0.901538
1.070000 0.076270 0.318526 0.666133 0.795695 0.901984
1.080000 0.075465 0.317086 0.666204 0.796169 0.902429
1.090000 0.074666 0.315643 0.666277 0.796644 0.902873
1.100000 0.073875 0.314197 0.666349 0.797120 0.903316
1.110000 0.073090 0.312749 0.666422 0.797596 0.903758
1.120000 0.072311 0.311298 0.666495 0.798073 0.904199
1.130000 0.071540 0.309844 0.666569 0.798550 0.904639
1.140000 0.070774 0.308388 0.666643 0.799029 0.905078
1.150000 0.070016 0.306930 0.666717 0.799508 0.905515
1.160000 0.069264 0.305469 0.666791 0.799987 0.905952
1.170000 0.068518 0.304006 0.666866 0.800468 0.906388
1.180000 0.067779 0.302541 0.666941 0.800949 0.906822
1.190000 0.067047 0.301073 0.667016 0.801430 0.907256
1.200000 0.066321 0.299604 0.667092 0.801913 0.907688
1.210000 0.065601 0.298132 0.667168 0.802396 0.908119
1.220000 0.064888 0.296658 0.667245 0.802879 0.908550
1.230000 0.064181 0.295183 0.667321 0.803363 0.908979
1.240000 0.063480 0.293706 0.667399 0.803848 0.909407
1.250000 0.062786 0.292227 0.667476 0.804334 0.909833
1.260000 0.062098 0.290746 0.667554 0.804820 0.910259
1.270000 0.061417 0.289263 0.667632 0.805306 0.910684
1.280000 0.060741 0.287779 0.667710 0.805794 0.911107
1.290000 0.060072 0.286294 0.667789 0.806282 0.911530
1.300000 0.059409 0.284807 0.667868 0.806770 0.911951
1.310000 0.058752 0.283318 0.667947 0.807259 0.912371
1.320000 0.058101 0.281829 0.668027 0.807749 0.912790
1.330000 0.057456 0.280338 0.668107 0.808239 0.913208
1.340000 0.056817 0.278845 0.668188 0.808730 0.913625
1.350000 0.056185 0.277352 0.668269 0.809221 0.914040
1.360000 0.055558 0.275858 0.668350 0.809713 0.914454
1.370000 0.054937 0.274363 0.668431 0.810206 0.914868
1.380000 0.054322 0.272866 0.668513 0.810699 0.915280
1.390000 0.053713 0.271370 0.668596 0.811192 0.915690
1.400000 0.053110 0.269872 0.668678 0.811686 0.916100
1.410000 0.052512 0.268374 0.668761 0.812181 0.916508
